premise,conclusion,support,support_pct,confidence,lift,leverage,cross_domain
"mobility_drop_retail, sentiment_shift_detected_lead2",mobility_drop_retail_lead7,87,13.24200913242009,88.50574712643679,4.123991195891416,0.08878046746314713,True
"mobility_drop_retail, sentiment_shift_detected_lead7",mobility_drop_retail_lead2,90,13.698630136986301,83.33333333333334,3.8829787234042556,0.08475636454619379,True
"mobility_drop_retail, sentiment_shift_detected_lead7",mobility_drop_retail_lead7,90,13.698630136986301,90.0,4.193617021276596,0.09388878463751799,True
"mobility_drop_retail, solidarity_messages_lead2",mobility_drop_retail_lead2,83,12.633181126331811,90.36144578313254,4.21045885670341,0.08704294461472167,True
"mobility_drop_retail, solidarity_messages_lead2",mobility_drop_retail_lead7,83,12.633181126331811,91.56626506024097,4.266598308126121,0.08856501462994237,True
"mobility_drop_retail, solidarity_messages_lead7",mobility_drop_retail_lead2,82,12.480974124809741,89.02439024390245,4.148157758173327,0.08432545887978427,True
"mobility_drop_retail, solidarity_messages_lead7",mobility_drop_retail_lead7,82,12.480974124809741,95.1219512195122,4.43227815256876,0.09193580895588777,True
"mobility_drop_retail, health_concern_lead2",mobility_drop_retail_lead2,89,13.54642313546423,87.64044943820225,4.083672005737509,0.08964922888735986,True
"mobility_drop_retail, health_concern_lead2",mobility_drop_retail_lead7,89,13.54642313546423,91.01123595505618,4.2407363136504905,0.09421543893302196,True
"mobility_drop_retail, health_concern_lead7",mobility_drop_retail_lead2,87,13.24200913242009,86.20689655172413,4.016874541452678,0.08573632743270573,True
"mobility_drop_retail, health_concern_lead7",mobility_drop_retail_lead7,87,13.24200913242009,94.25287356321839,4.3917828319882615,0.09639081753925063,True
"mobility_drop_transit, mobility_drop_workplace",mobility_drop_workplace_lead2,104,15.82952815829528,81.73076923076923,5.018421998562186,0.1035957456173882,False
"mobility_drop_transit, mobility_drop_workplace",mobility_drop_workplace_lead7,104,15.82952815829528,76.92307692307693,4.723220704529116,0.0959853955412847,False
"mobility_drop_transit, severe_lockdown_behavior",severe_lockdown_behavior_lead2,87,13.24200913242009,90.80459770114942,6.857312722948871,0.1027084506161256,False
"mobility_drop_transit, severe_lockdown_behavior",severe_lockdown_behavior_lead7,87,13.24200913242009,91.95402298850574,6.944114149821641,0.1042305206313463,False
"mobility_drop_transit, sentiment_improved_lag1",high_positive_sentiment_lag1,109,16.590563165905632,75.22935779816514,1.9382622773880196,0.06041714448544998,True
"mobility_drop_transit, mobility_drop_workplace_lead2",mobility_drop_workplace,98,14.916286149162861,86.73469387755102,5.325672325004768,0.1050830651756404,False
"mobility_drop_transit, mobility_drop_workplace_lead2",mobility_drop_workplace_lead7,98,14.916286149162861,78.57142857142857,4.824432576769025,0.0929065050538748,False
"mobility_drop_transit, mobility_drop_workplace_lead7",mobility_drop_workplace,93,14.15525114155251,86.02150537634408,5.281881217968044,0.09871214806474704,False
"mobility_drop_transit, mobility_drop_workplace_lead7",mobility_drop_workplace_lead2,93,14.15525114155251,82.79569892473118,5.083810672294242,0.09414593801908494,False
